z_m,T_ci_C,T_co_C
1.651000000000282242e-01,4.058104032708866384e+02,3.471680498872486282e+02
1.778000000000283798e-01,4.057431238270420408e+02,3.471673770462284665e+02
1.905000000000285354e-01,4.056708849127205099e+02,3.471666539997038399e+02
2.032000000000286910e-01,4.055936917079484942e+02,3.471658806685754826e+02
2.159000000000288466e-01,4.055115497486208938e+02,3.471650569680128342e+02
2.286000000000290022e-01,4.054244649262215603e+02,3.471641828073971965e+02
2.413000000000291578e-01,4.053324434875283373e+02,3.471632580902612517e+02
2.540000000000293134e-01,4.052354920342987725e+02,3.471622827142240908e+02
2.667000000000294690e-01,4.051336175229369019e+02,3.471612565709220348e+02
2.794000000000296247e-01,4.050268272641402518e+02,3.471601795459353639e+02
2.921000000000297803e-01,4.049151289225295045e+02,3.471590515187100436e+02
3.048000000000299359e-01,4.047985305162578129e+02,3.471578723624752456e+02
3.175000000000300915e-01,4.046770404166006188e+02,3.471566419441561493e+02
3.302000000000302471e-01,4.045506673475256321e+02,3.471553601242817990e+02
3.429000000000304027e-01,4.044194203852446776e+02,3.471540267568877880e+02
3.556000000000305583e-01,4.042833089577434862e+02,3.471526416894143381e+02
3.683000000000307139e-01,4.041423428442921590e+02,3.471512047625985815e+02
3.810000000000308695e-01,4.039965321749354530e+02,3.471497158103615561e+02
3.937000000000310251e-01,4.038458874299619197e+02,3.471481746596898574e+02
4.064000000000311807e-01,4.036904194393516150e+02,3.471465811305110947e+02
4.191000000000313364e-01,4.035301393822043678e+02,3.471449350355634920e+02
4.318000000000314920e-01,4.033650587861449139e+02,3.471432361802594073e+02
4.445000000000316476e-01,4.031951895267064856e+02,3.471414843625423714e+02
4.572000000000318032e-01,4.030205438266929150e+02,3.471396793727372483e+02
4.699000000000319588e-01,4.028411342555184547e+02,3.471378209933938592e+02
4.826000000000321144e-01,4.026569737285229280e+02,3.471359089991231599e+02
4.953000000000322700e-01,4.024680755062680078e+02,3.471339431564261986e+02
5.080000000000324256e-01,4.022744531938033674e+02,3.471319232235152867e+02
5.207000000000325812e-01,4.020761207399168597e+02,3.471298489501269273e+02
5.334000000000327368e-01,4.018730924363539430e+02,3.471277200773268419e+02
5.461000000000328924e-01,4.016653829170161885e+02,3.471255363373060163e+02
5.588000000000330481e-01,4.014530071571317649e+02,3.471232974531676518e+02
5.715000000000332037e-01,4.012359804724035257e+02,3.471210031387048502e+02
5.842000000000333593e-01,4.010143185181285617e+02,3.471186530981684086e+02
5.969000000000335149e-01,4.007880372882912070e+02,3.471162470260244959e+02
6.096000000000336705e-01,4.005571531146295001e+02,3.471137846067013015e+02
6.223000000000338261e-01,4.003216826656755529e+02,3.471112655143248276e+02
6.350000000000339817e-01,4.000816429457620416e+02,3.471086894124429136e+02
6.477000000000341373e-01,3.998370512940069261e+02,3.471060559537368135e+02
6.604000000000342929e-01,3.995879253832616200e+02,3.471033647797203798e+02
6.731000000000344485e-01,3.993342832190336367e+02,3.471006155204254924e+02
6.858000000000346041e-01,3.990761431383748459e+02,3.470978077940738444e+02
6.985000000000347598e-01,3.988135238087403991e+02,3.470949412067335516e+02
7.112000000000349154e-01,3.985464442268121275e+02,3.470920153519608107e+02
7.239000000000350710e-01,3.982749237172893118e+02,3.470890298104251883e+02
7.366000000000352266e-01,3.979989819316458011e+02,3.470859841495179126e+02
7.493000000000353822e-01,3.977186388468498990e+02,3.470828779229424867e+02
7.620000000000355378e-01,3.974339147640486658e+02,3.470797106702863744e+02
7.747000000000356934e-01,3.971448303072132262e+02,3.470764819165731296e+02
7.874000000000358490e-01,3.968514064217458781e+02,3.470731911717938374e+02
8.001000000000360046e-01,3.965536643730479796e+02,3.470698379304164973e+02
8.128000000000361602e-01,3.962516257450436683e+02,3.470664216708729555e+02
8.255000000000363158e-01,3.959453124386643026e+02,3.470629418550209948e+02
8.382000000000364714e-01,3.956347466702845281e+02,3.470593979275813581e+02
8.509000000000366271e-01,3.953199509701155421e+02,3.470557893155475995e+02
8.636000000000367827e-01,3.950009481805505516e+02,3.470521154275677986e+02
